Image C=1,I=483
The max ELI is 17758.812500
     49  0.541 113.058  0.2770  0.149
     51  0.627 110.008  0.2177  0.198
     52  0.859   9.635  0.1798  0.025
     54  1.543  39.772  0.2391  0.102
     55  1.182   6.772  0.0927  0.039
     56  0.999   4.687  0.0000  0.062
     57  0.304  21.917  0.1489  0.040
     58  1.423  17.563  0.2273  0.046
     59  0.256   7.006  0.1429  0.012
     60  1.482  17.910  0.2155  0.050
     61  0.910   5.734  0.0000  0.073
     62  1.203 110.297  0.3204  0.187
     63  0.789   0.000  0.0000  0.000
     64  0.248  34.241  0.3049  0.028
     65  0.252   4.272  0.0000  0.028
     66  3.082 123.815  0.2386  0.451
     67  0.689   7.333  0.0446  0.068
     68  0.686   8.541  0.3614  0.010
     69  1.000  10.952  0.2798  0.019
     70  0.980  10.857  0.1851  0.029
     71  0.328   5.379  0.1815  0.008
     72  0.349   2.404  0.0000  0.019
     73  0.521 103.891  0.2523  0.147
     74  1.067 102.271  0.2877  0.182
     75  0.892   5.550  0.3081  0.008
     76  1.060  16.625  0.1807  0.047
     77  0.498   3.600  0.0000  0.034
     78  2.477  18.070  0.2014  0.070
     79  0.837   3.260  0.0000  0.040
     80  0.483  59.105  0.4215  0.048
     81  0.783   8.126  0.4159  0.009
     82  0.501  11.997  0.1299  0.032
     83  0.250   9.965  0.1502  0.016
     84  0.312   2.062  0.0000  0.015
     85  0.243  50.750  0.1843  0.067
     87  1.018   7.348  0.2222  0.017
     89  0.815  47.541  0.4072  0.052
     90  1.094  47.582  0.1897  0.130
     91  2.204   9.514  0.7771  0.009
     92  3.504  50.287  0.4702  0.099
     93  0.737  19.721  0.1373  0.061
     94  0.347  10.344  0.2029  0.015
     95  0.633  23.448  0.2375  0.039
     96  0.274  83.829  0.1946  0.112
     97  1.936  76.927  0.2778  0.191
     98  0.747   9.545  0.9798  0.004
     99  0.489  22.994  0.1349  0.059
    100  0.474   2.648  0.0000  0.024
    101  0.376   9.346  0.2786  0.010
    102  1.026  51.490  0.2691  0.096
    103  0.681  12.539  0.1546  0.033
    105  1.229  17.536  0.1279  0.075
    107  0.237  62.286  0.2128  0.071
    108  2.506   6.500  0.0000  0.137
    109  0.974  45.667  0.3117  0.072
    110  0.725  20.729  0.5061  0.017
    111  0.704  40.060  0.2457  0.068
    112  0.767  58.903  0.2964  0.086
    115  0.561   0.000  0.0000  0.000
    116  0.517   6.045  0.6232  0.003
    118  1.292  13.120  0.2876  0.026
    119  2.020  81.815  0.3445  0.167
    120  3.404  69.014  0.3640  0.173
    122  1.250   0.000  0.0000  0.000
    123  2.953 137.635  0.3053  0.384
    124  2.625   9.182  0.1570  0.047
    125  0.596   6.140  0.1571  0.015
    126  0.683  43.162  0.2481  0.071
    127  1.877  15.103  0.3117  0.033
    129  2.341  12.320  0.4719  0.020
    131  0.531  18.368  0.4922  0.013
    132  3.176 184.402  0.2535  0.642
    133  0.507  23.400  0.3653  0.023
    134  1.566 175.876  0.1953  0.558
    136  1.724  14.331  0.3467  0.027
    137  2.638  10.347  0.0908  0.092
    139  0.802  21.131  0.1912  0.049
    140  0.506  46.210  0.4647  0.035
    141  0.765  33.716  0.3904  0.037
    142  0.432   4.860  0.1269  0.012
    143  1.328   8.123  0.1009  0.046
    144  2.253  11.160  0.1213  0.068
    145  0.673  21.568  0.2836  0.031
    146  1.567  13.394  0.0482  0.172
    148  0.408  21.356  0.2360  0.029
    150  0.452   7.828  0.0514  0.051
    151  2.428 139.192  0.1821  0.590
    152  1.460   4.634  0.3142  0.009
    154  0.919  23.844  0.4623  0.024
    155  1.588   3.905  0.0000  0.065
    157  2.613  12.684  0.4842  0.021
    159  2.477   7.965  0.1929  0.032
    160  0.199   6.748  0.1889  0.008
    161  1.602 335.428  0.2103  1.000
    162  1.627 158.652  0.2364  0.424
    163  0.905  12.382  0.1619  0.036
    164  0.892   4.031  0.0000  0.051
    165  3.035  18.867  0.5574  0.029
    167  2.868  10.132  0.3520  0.024
    168  0.846  23.419  0.1477  0.072
    169  2.167   4.028  0.0000  0.079
    171  0.629  30.898  0.2847  0.043
    172  0.798   7.887  0.5216  0.007
    173  0.636   7.387  0.4317  0.007
    174  0.366   0.000  0.0000  0.000
    175  1.035  31.243  0.5168  0.030
    177  0.575   8.900  0.0664  0.050
    179  1.227  17.810  0.2950  0.033
    180  0.676  22.347  0.2685  0.034
    182  2.840  70.169  0.1869  0.313
    183  0.580  48.402  0.2352  0.078
    184  3.115 144.709  0.1486  0.852
    185  1.683   5.948  0.1543  0.025
    186  0.964   6.053  0.3081  0.010
    187  1.228   2.603  0.0000  0.038
    188  4.168  15.210  0.1609  0.096
    189  0.575  37.326  0.2634  0.053
    190  1.251  43.845  0.2737  0.089
    191  3.521  27.325  0.1850  0.137
    192  0.640   0.000  0.0000  0.000
    193  0.696  11.532  0.3072  0.016
    196  0.639   2.833  0.0000  0.030
    197  1.706   7.537  0.1355  0.036
    198  0.407   5.508  0.2006  0.009
    199  0.826  36.241  0.1848  0.088
    200  2.032   9.798  0.0609  0.114
    202  1.652   4.914  0.1543  0.020
    203  0.595  11.832  0.1176  0.038
    204  0.323  21.905  0.2393  0.026
    205  0.910  45.632  0.1820  0.119
    206  0.335   3.041  0.0000  0.023
    209  1.020  10.517  0.1488  0.035
    211  3.508  26.373  0.2908  0.084
    212  1.465  12.147  0.1201  0.061
    213  1.580   3.453  0.0000  0.058
    214  0.592  19.386  0.2144  0.034
